Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
709,406544,147,26.19,14577,24.44
710,407052,53,16.22,14609,24.44
711,407763,159,27.66,14613,24.34
712,408437,67,18.51,14645,24.44
713,408484,109,22.7,14650,24.44
714,408707,472,125.87,14655,24.44
715,408987,112,22.94,14660,24.44
716,409614,384,80.08,14692,24.44
717,409804,319,57.64,14697,24.44
718,411283,440,109.25,14758,24.34
719,413551,345,64.98,14821,24.34
720,414747,179,30.55,14854,24.44
721,415180,291,50.97,14885,24.44
722,415392,63,17.91,14890,24.44
723,416241,60,17.43,14922,24.34
724,416971,88,20.96,14927,24.44
725,418112,88,20.96,14986,24.01
726,418166,419,97.2,14991,24.44
727,418522,79,20.03,14996,24.44
728,419680,177,30.25,15027,24.44
729,420411,248,42.69,15059,24.34
730,420684,197,33.52,15064,24.34
731,420704,185,31.51,15069,24.44
732,421096,112,22.94,15101,24.44
733,421468,188,32.01,15106,24.44
734,421851,304,53.73,15111,24.34
735,422383,178,30.4,15144,24.44
736,423607,345,64.98,15175,24.34
737,424121,71,19.06,15208,24.44
738,424748,60,17.43,15213,24.44
739,425563,99,21.91,15245,24.44
740,425855,57,16.93,15250,24.44
741,426675,304,53.73,15282,24.34
742,427256,163,28.2,15315,24.44
743,427709,66,18.36,15320,24.44
744,428576,376,76.43,15352,24.44
745,428695,49,15.48,15357,24.34
746,429325,108,22.63,15389,24.34
747,430085,240,41.21,15421,24.44
748,430092,563,181.65,15426,24.44
749,431362,486,135.98,15462,24.44
750,431477,243,41.74,15467,24.44
751,431503,236,40.44,15472,24.44
752,432220,335,61.77,15504,24.44
753,432419,121,23.66,15509,24.44
754,433316,93,21.41,15541,24.44
755,434109,350,66.46,15572,24.44
756,435043,120,23.58,15605,24.44
757,435089,448,112.41,15610,24.34
758,435354,143,25.74,15615,24.44
759,436934,409,91.12,15647,24.44
760,437212,295,51.75,15681,24.44
761,437223,467,121.56,15686,24.44
762,437637,504,143.61,15691,24.34
763,437939,49,15.48,15696,24.44
764,438237,159,27.66,15728,24.44
