Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
605,341117,473,126.29,12241,24.01
606,341357,67,18.51,12246,24.34
607,341892,167,28.76,12251,24.23
608,342889,131,24.54,12283,24.01
609,343783,135,24.92,12315,24.23
610,344045,241,41.39,12347,24.23
611,344284,384,80.08,12352,24.01
612,344292,295,51.75,12357,24.12
613,344859,60,17.43,12362,24.01
614,345102,63,17.91,12394,23.8
615,345193,115,23.18,12399,24.23
616,346568,304,53.73,12431,23.8
617,347880,199,33.86,12464,24.12
618,347992,63,17.91,12469,23.91
619,348571,97,21.75,12501,24.23
620,348618,79,20.03,12506,24.12
621,349366,238,40.82,12538,24.34
622,349735,568,189.84,12543,23.91
623,351769,127,24.18,12610,24.34
624,352946,248,42.69,12642,24.12
625,353832,184,31.36,12675,23.8
626,354212,396,85.28,12707,24.23
627,354530,113,23.02,12712,24.12
628,354629,73,19.32,12717,24.23
629,354642,67,18.51,12722,24.34
630,355728,113,23.02,12754,24.23
631,356071,391,82.35,12786,23.91
632,356407,97,21.75,12791,24.01
633,356815,97,21.75,12796,24.01
634,358243,152,26.78,12855,24.12
635,359940,176,30.09,12887,24.44
636,359982,184,31.36,12892,24.23
637,360608,63,17.91,12924,24.12
638,360705,352,66.89,12929,24.34
639,361043,387,81.05,12962,24.23
640,361220,352,66.89,12967,24.01
641,361760,71,19.06,12972,23.91
642,361972,192,32.67,12977,24.34
643,363768,419,97.2,13036,24.12
644,364040,79,20.03,13070,24.01
645,366147,71,19.06,13129,23.91
646,366508,56,16.76,13134,23.91
647,367084,149,26.42,13166,24.12
648,367123,199,33.86,13171,24.12
649,369083,153,26.9,13230,24.34
650,370548,352,66.89,13262,24.01
651,371627,81,20.25,13295,24.01
652,371960,163,28.2,13300,24.12
653,372556,176,30.09,13332,24.34
654,372903,178,30.4,13337,24.01
655,373119,207,35.26,13368,24.23
656,373613,67,18.51,13373,23.91
657,373743,56,16.76,13378,24.23
658,374186,241,41.39,13410,24.01
659,375692,49,15.48,13443,24.23
660,375736,112,22.94,13448,24.34
661,375992,85,20.67,13453,23.91
662,376336,248,42.69,13485,24.12
663,376966,170,29.19,13490,24.23
664,377048,305,53.88,13522,24.34
665,377153,243,41.74,13527,24.01
666,377209,487,132.65,13532,24.01
667,377361,236,40.44,13537,24.23
668,377434,143,25.74,13542,24.23
669,379377,169,29.05,13601,24.23
670,379731,147,26.19,13606,24.01
671,380115,56,16.76,13638,24.23
672,382181,179,30.55,13696,24.23
673,384375,159,27.66,13754,23.8
674,384437,178,30.4,13759,23.91
675,385925,57,16.93,13790,24.44
676,386167,106,22.47,13822,24.34
677,387356,332,61.17,13853,24.12
678,387730,231,39.55,13858,24.34
679,387862,307,54.48,13863,24.12
680,388176,92,21.32,13896,24.34
681,388486,142,25.64,13901,23.91
682,389580,307,54.48,13933,24.34
683,390179,88,20.96,13966,23.91
684,391446,745,421.25,13998,24.23
685,391834,112,22.94,14003,24.44
686,392061,255,43.96,14035,24.01
687,392932,171,29.34,14040,23.91
688,393104,152,26.78,14072,24.01
689,393523,117,23.34,14077,24.12
690,393880,448,112.41,14082,24.34
691,393974,117,23.34,14087,24.12
692,394176,176,30.09,14119,24.23
693,395031,364,71.71,14151,23.91
694,396759,691,332.16,14184,24.12
695,396853,508,144.95,14189,24.34
696,397456,199,33.86,14224,24.34
697,397564,131,24.54,14229,24.12
698,398102,85,20.67,14261,24.12
699,399196,384,80.08,14293,24.34
700,399566,248,42.69,14298,24.23
701,399808,70,18.93,14303,23.8
702,400106,176,30.09,14335,23.8
703,400894,339,62.98,14340,24.23
704,400967,107,22.55,14345,24.34
705,401899,122,23.75,14376,24.23
706,402760,114,23.1,14408,24.12
707,403104,96,21.67,14440,23.8
708,403331,211,35.96,14445,24.34
709,403412,207,35.26,14450,24.12
710,403543,216,36.85,14455,24.01
711,403690,56,16.76,14460,24.23
712,404294,403,88.99,14492,24.12
713,404570,172,29.49,14497,24.23
714,405552,444,109.09,14529,24.12
715,406096,224,38.29,14562,24.12
716,406276,412,92.93,14567,24.34
717,406290,147,26.19,14572,24.12
718,406329,344,64.67,14577,24.23
719,408289,88,20.96,14638,24.01
720,409321,220,37.58,14670,24.01
721,409796,451,113.08,14675,24.23
722,410207,96,21.67,14709,24.23
723,410846,253,43.55,14714,24.23
